iter	RMSE
0	0.9060298613
1	0.902580917
2	0.8929095546
3	0.8819697722
4	0.8682263789
5	0.8616353647
6	0.8469750286
7	0.8402572323
8	0.8350682837
9	0.8275329909
10	0.8159483103
11	0.8112773686
12	0.8088590731
13	0.8005395528
14	0.797779671
15	0.7876223141
16	0.7830571471
17	0.7769328681
18	0.7699215415
19	0.7665683734
20	0.7641446435
21	0.7611080395
22	0.7575728069
23	0.7535090413
24	0.7504659136
25	0.7438249871
26	0.7413422699
27	0.7386483651
28	0.7345486653
29	0.7315164158
30	0.72799354
31	0.7258818109
32	0.7219591153
33	0.7177461319
34	0.7156315715
35	0.712493271
36	0.7102997394
37	0.7050040818
38	0.700599494
39	0.6966579223
40	0.6930529863
41	0.6893204501
42	0.6834787595
43	0.6806749001
44	0.6764973608
45	0.6730553187
46	0.6694974698
47	0.6673775805
48	0.6633823021
49	0.6588901259
50	0.6547405101
51	0.651171199
52	0.6467271534
53	0.6422206009
54	0.6395971579
55	0.6377879503
56	0.6341974074
57	0.6309108737
58	0.6269978535
59	0.625748017
60	0.6238306465
61	0.6212327571
62	0.6187172016
63	0.6153248376
64	0.6112020324
65	0.6066822307
66	0.6048813874
67	0.6033468827
68	0.5994644661
69	0.5960785254
70	0.5941251511
71	0.5906702993
72	0.5891236298
73	0.587171415
74	0.5846915063
75	0.5806786589
76	0.5795983871
77	0.5784889773
78	0.577753607
79	0.5764555454
80	0.5718141628
81	0.5658953506
82	0.5623814942
83	0.5615002308
84	0.5593941896
85	0.5572583027
86	0.5557374976
87	0.5522063802
88	0.551439014
89	0.5502931726
90	0.5454709824
91	0.542486344
92	0.5396239528
93	0.5376881401
94	0.5343719027
95	0.5306113582
96	0.5280354908
97	0.5265574269
98	0.5230458707
99	0.5176423821
100	0.5165503244
101	0.513638088
102	0.5107393473
103	0.5102028871
104	0.5078961482
105	0.5037644019
106	0.5023479662
107	0.5006213772
108	0.4987781981
109	0.496001032
110	0.4932304779
111	0.4910457974
112	0.490261481
113	0.4865796871
114	0.4826236048
115	0.4799690029
116	0.4794123641
117	0.4787076196
118	0.4768760475
119	0.4763164077
120	0.4743575765
121	0.4728747484
122	0.4721178874
123	0.4685723069
124	0.4672319426
125	0.4653812184
126	0.463097496
127	0.4614979114
128	0.4610913759
129	0.4606996715
130	0.4578961782
131	0.4552794295
132	0.4538327179
133	0.4514718464
134	0.4498221986
135	0.4467484297
136	0.4453059597
137	0.4433076175
138	0.4405939941
139	0.4399341443
140	0.4381812902
141	0.4374589627
142	0.4357192424
143	0.4331514968
144	0.4307569284
145	0.4300930758
146	0.4274347769
147	0.4253928146
148	0.4219240004
149	0.4204819899
150	0.4179154117
151	0.4160322744
152	0.4127535344
153	0.4110402948
154	0.4106876147
155	0.4096672985
156	0.4071767733
157	0.4056019212
158	0.4050945085
159	0.4043452594
160	0.403187477
161	0.4019498673
162	0.4016309137
163	0.4011644271
164	0.3990150264
165	0.3976038002
166	0.3959770712
167	0.3941504547
168	0.3927013951
169	0.3913872283
170	0.389324763
171	0.3867675681
172	0.3844969454
173	0.382639129
174	0.3815800221
175	0.3808106491
176	0.3794993087
177	0.3780765893
178	0.3771471339
179	0.3754568495
180	0.3749294363
181	0.3735410735
182	0.3730472002
183	0.3720733072
184	0.3716768689
185	0.3703122333
186	0.3680966391
187	0.3663070284
188	0.3653704801
189	0.3626061621
190	0.3606172738
191	0.3599307932
192	0.3595408731
193	0.3586529984
194	0.3561806397
195	0.3547004355
196	0.3535599123
197	0.3519950457
198	0.3506925617
199	0.3500353004
