iter	Passed	Remaining
0	0	44
1	0	39
2	0	36
3	0	34
4	0	33
5	0	31
6	1	30
7	1	29
8	1	28
9	1	28
10	1	28
11	1	27
12	1	27
13	2	26
14	2	25
15	2	25
16	2	25
17	2	25
18	2	25
19	2	25
20	2	25
21	3	24
22	3	24
23	3	24
24	3	24
25	3	23
26	3	23
27	3	23
28	3	23
29	4	23
30	4	22
31	4	22
32	4	22
33	4	22
34	4	22
35	4	21
36	4	21
37	5	21
38	5	21
39	5	21
40	5	21
41	5	20
42	5	20
43	5	20
44	5	20
45	6	20
46	6	20
47	6	20
48	6	19
49	6	19
50	6	19
51	6	19
52	6	19
53	7	19
54	7	19
55	7	19
56	7	19
57	7	18
58	7	18
59	8	18
60	8	18
61	8	18
62	8	18
63	8	18
64	8	18
65	8	18
66	9	18
67	9	17
68	9	17
69	9	17
70	9	17
71	9	17
72	9	17
73	10	17
74	10	16
75	10	16
76	10	16
77	10	16
78	10	16
79	10	16
80	11	16
81	11	16
82	11	15
83	11	15
84	11	15
85	11	15
86	11	15
87	12	15
88	12	15
89	12	15
90	12	15
91	12	14
92	12	14
93	13	14
94	13	14
95	13	14
96	13	14
97	13	14
98	13	13
99	13	13
100	13	13
101	14	13
102	14	13
103	14	13
104	14	13
105	14	13
106	14	12
107	14	12
108	15	12
109	15	12
110	15	12
111	15	12
112	15	12
113	15	11
114	15	11
115	16	11
116	16	11
117	16	11
118	16	11
119	16	11
120	16	11
121	17	10
122	17	10
123	17	10
124	17	10
125	17	10
126	17	10
127	17	10
128	18	9
129	18	9
130	18	9
131	18	9
132	18	9
133	18	9
134	18	9
135	18	8
136	19	8
137	19	8
138	19	8
139	19	8
140	19	8
141	19	8
142	19	7
143	20	7
144	20	7
145	20	7
146	20	7
147	20	7
148	20	7
149	20	6
150	20	6
151	21	6
152	21	6
153	21	6
154	21	6
155	21	6
156	21	5
157	22	5
158	22	5
159	22	5
160	22	5
161	22	5
162	22	5
163	22	5
164	23	4
165	23	4
166	23	4
167	23	4
168	23	4
169	23	4
170	23	4
171	24	3
172	24	3
173	24	3
174	24	3
175	24	3
176	24	3
177	24	3
178	25	2
179	25	2
180	25	2
181	25	2
182	25	2
183	25	2
184	25	2
185	26	1
186	26	1
187	26	1
188	26	1
189	26	1
190	26	1
191	26	1
192	26	0
193	27	0
194	27	0
195	27	0
196	27	0
197	27	0
198	27	0
199	27	0
